Date,Fajr,Sunrise,Dhuhr,Asr,Sunset,Maghrib,Isha,Imsak,Midnight,Firstthird,Lastthird,Date_Added
01 Sep 2023,04:55 AM,06:16 AM,12:51 PM,04:32 PM,07:25 PM,07:25 PM,08:46 PM,04:45 AM,12:51 AM,11:02 PM,02:39 AM,2023-09-14
02 Sep 2023,04:57 AM,06:17 AM,12:51 PM,04:31 PM,07:23 PM,07:23 PM,08:44 PM,04:47 AM,12:50 AM,11:01 PM,02:39 AM,2023-09-14
03 Sep 2023,04:58 AM,06:18 AM,12:50 PM,04:30 PM,07:22 PM,07:22 PM,08:42 PM,04:48 AM,12:50 AM,11:00 PM,02:39 AM,2023-09-14
04 Sep 2023,04:59 AM,06:19 AM,12:50 PM,04:29 PM,07:20 PM,07:20 PM,08:40 PM,04:49 AM,12:50 AM,11:00 PM,02:40 AM,2023-09-14
05 Sep 2023,05:01 AM,06:20 AM,12:50 PM,04:28 PM,07:18 PM,07:18 PM,08:38 PM,04:51 AM,12:49 AM,10:59 PM,02:40 AM,2023-09-14
06 Sep 2023,05:02 AM,06:22 AM,12:49 PM,04:27 PM,07:16 PM,07:16 PM,08:36 PM,04:52 AM,12:49 AM,10:58 PM,02:40 AM,2023-09-14
07 Sep 2023,05:03 AM,06:23 AM,12:49 PM,04:26 PM,07:15 PM,07:15 PM,08:34 PM,04:53 AM,12:49 AM,10:57 PM,02:40 AM,2023-09-14
08 Sep 2023,05:04 AM,06:24 AM,12:49 PM,04:25 PM,07:13 PM,07:13 PM,08:32 PM,04:54 AM,12:48 AM,10:56 PM,02:40 AM,2023-09-14
09 Sep 2023,05:05 AM,06:25 AM,12:48 PM,04:24 PM,07:11 PM,07:11 PM,08:30 PM,04:55 AM,12:48 AM,10:56 PM,02:40 AM,2023-09-14
10 Sep 2023,05:07 AM,06:26 AM,12:48 PM,04:23 PM,07:09 PM,07:09 PM,08:28 PM,04:57 AM,12:48 AM,10:55 PM,02:40 AM,2023-09-14
11 Sep 2023,05:08 AM,06:27 AM,12:48 PM,04:22 PM,07:08 PM,07:08 PM,08:26 PM,04:58 AM,12:47 AM,10:54 PM,02:40 AM,2023-09-14
12 Sep 2023,05:09 AM,06:28 AM,12:47 PM,04:21 PM,07:06 PM,07:06 PM,08:24 PM,04:59 AM,12:47 AM,10:53 PM,02:40 AM,2023-09-14
13 Sep 2023,05:10 AM,06:29 AM,12:47 PM,04:20 PM,07:04 PM,07:04 PM,08:23 PM,05:00 AM,12:47 AM,10:52 PM,02:41 AM,2023-09-14
14 Sep 2023,05:12 AM,06:30 AM,12:47 PM,04:18 PM,07:03 PM,07:03 PM,08:21 PM,05:02 AM,12:46 AM,10:52 PM,02:41 AM,2023-09-14
15 Sep 2023,05:13 AM,06:31 AM,12:46 PM,04:17 PM,07:01 PM,07:01 PM,08:19 PM,05:03 AM,12:46 AM,10:51 PM,02:41 AM,2023-09-14
16 Sep 2023,05:14 AM,06:32 AM,12:46 PM,04:16 PM,06:59 PM,06:59 PM,08:17 PM,05:04 AM,12:45 AM,10:50 PM,02:41 AM,2023-09-14
17 Sep 2023,05:15 AM,06:33 AM,12:45 PM,04:15 PM,06:57 PM,06:57 PM,08:15 PM,05:05 AM,12:45 AM,10:49 PM,02:41 AM,2023-09-14
18 Sep 2023,05:16 AM,06:34 AM,12:45 PM,04:14 PM,06:55 PM,06:55 PM,08:13 PM,05:06 AM,12:45 AM,10:48 PM,02:41 AM,2023-09-14
19 Sep 2023,05:17 AM,06:35 AM,12:45 PM,04:13 PM,06:54 PM,06:54 PM,08:11 PM,05:07 AM,12:44 AM,10:47 PM,02:41 AM,2023-09-14
20 Sep 2023,05:19 AM,06:36 AM,12:44 PM,04:12 PM,06:52 PM,06:52 PM,08:09 PM,05:09 AM,12:44 AM,10:47 PM,02:41 AM,2023-09-14
21 Sep 2023,05:20 AM,06:37 AM,12:44 PM,04:10 PM,06:50 PM,06:50 PM,08:07 PM,05:10 AM,12:44 AM,10:46 PM,02:41 AM,2023-09-14
22 Sep 2023,05:21 AM,06:38 AM,12:44 PM,04:09 PM,06:48 PM,06:48 PM,08:06 PM,05:11 AM,12:43 AM,10:45 PM,02:42 AM,2023-09-14
23 Sep 2023,05:22 AM,06:39 AM,12:43 PM,04:08 PM,06:47 PM,06:47 PM,08:04 PM,05:12 AM,12:43 AM,10:44 PM,02:42 AM,2023-09-14
24 Sep 2023,05:23 AM,06:40 AM,12:43 PM,04:07 PM,06:45 PM,06:45 PM,08:02 PM,05:13 AM,12:43 AM,10:43 PM,02:42 AM,2023-09-14
25 Sep 2023,05:24 AM,06:41 AM,12:43 PM,04:06 PM,06:43 PM,06:43 PM,08:00 PM,05:14 AM,12:42 AM,10:43 PM,02:42 AM,2023-09-14
26 Sep 2023,05:25 AM,06:42 AM,12:42 PM,04:04 PM,06:41 PM,06:41 PM,07:58 PM,05:15 AM,12:42 AM,10:42 PM,02:42 AM,2023-09-14
27 Sep 2023,05:27 AM,06:43 AM,12:42 PM,04:03 PM,06:40 PM,06:40 PM,07:56 PM,05:17 AM,12:42 AM,10:41 PM,02:42 AM,2023-09-14
28 Sep 2023,05:28 AM,06:44 AM,12:42 PM,04:02 PM,06:38 PM,06:38 PM,07:55 PM,05:18 AM,12:41 AM,10:40 PM,02:42 AM,2023-09-14
29 Sep 2023,05:29 AM,06:46 AM,12:41 PM,04:01 PM,06:36 PM,06:36 PM,07:53 PM,05:19 AM,12:41 AM,10:39 PM,02:42 AM,2023-09-14
30 Sep 2023,05:30 AM,06:47 AM,12:41 PM,04:00 PM,06:35 PM,06:35 PM,07:51 PM,05:20 AM,12:41 AM,10:39 PM,02:43 AM,2023-09-14
01 Oct 2023,05:31 AM,06:48 AM,12:41 PM,03:58 PM,06:33 PM,06:33 PM,07:49 PM,05:21 AM,12:40 AM,10:38 PM,02:43 AM,2023-09-17
02 Oct 2023,05:32 AM,06:49 AM,12:40 PM,03:57 PM,06:31 PM,06:31 PM,07:48 PM,05:22 AM,12:40 AM,10:37 PM,02:43 AM,2023-09-17
03 Oct 2023,05:33 AM,06:50 AM,12:40 PM,03:55 PM,06:29 PM,06:29 PM,07:46 PM,05:23 AM,12:40 AM,10:36 PM,02:43 AM,2023-09-17
04 Oct 2023,05:34 AM,06:51 AM,12:40 PM,03:54 PM,06:28 PM,06:28 PM,07:44 PM,05:24 AM,12:39 AM,10:35 PM,02:43 AM,2023-09-17
05 Oct 2023,05:36 AM,06:52 AM,12:39 PM,03:53 PM,06:26 PM,06:26 PM,07:42 PM,05:26 AM,12:39 AM,10:35 PM,02:43 AM,2023-09-17
06 Oct 2023,05:37 AM,06:53 AM,12:39 PM,03:52 PM,06:24 PM,06:24 PM,07:41 PM,05:27 AM,12:39 AM,10:34 PM,02:44 AM,2023-09-17
07 Oct 2023,05:38 AM,06:54 AM,12:39 PM,03:51 PM,06:23 PM,06:23 PM,07:39 PM,05:28 AM,12:38 AM,10:33 PM,02:44 AM,2023-09-17
08 Oct 2023,05:39 AM,06:55 AM,12:38 PM,03:49 PM,06:21 PM,06:21 PM,07:37 PM,05:29 AM,12:38 AM,10:32 PM,02:44 AM,2023-09-17
09 Oct 2023,05:40 AM,06:56 AM,12:38 PM,03:48 PM,06:19 PM,06:19 PM,07:36 PM,05:30 AM,12:38 AM,10:32 PM,02:44 AM,2023-09-17
10 Oct 2023,05:41 AM,06:58 AM,12:38 PM,03:47 PM,06:18 PM,06:18 PM,07:34 PM,05:31 AM,12:38 AM,10:31 PM,02:44 AM,2023-09-17
11 Oct 2023,05:42 AM,06:59 AM,12:38 PM,03:46 PM,06:16 PM,06:16 PM,07:32 PM,05:32 AM,12:37 AM,10:30 PM,02:44 AM,2023-09-17
12 Oct 2023,05:43 AM,07:00 AM,12:37 PM,03:44 PM,06:14 PM,06:14 PM,07:31 PM,05:33 AM,12:37 AM,10:29 PM,02:45 AM,2023-09-17
13 Oct 2023,05:44 AM,07:01 AM,12:37 PM,03:43 PM,06:13 PM,06:13 PM,07:29 PM,05:34 AM,12:37 AM,10:29 PM,02:45 AM,2023-09-17
14 Oct 2023,05:45 AM,07:02 AM,12:37 PM,03:42 PM,06:11 PM,06:11 PM,07:28 PM,05:35 AM,12:37 AM,10:28 PM,02:45 AM,2023-09-17
15 Oct 2023,05:47 AM,07:03 AM,12:37 PM,03:41 PM,06:10 PM,06:10 PM,07:26 PM,05:37 AM,12:36 AM,10:27 PM,02:45 AM,2023-09-17
16 Oct 2023,05:48 AM,07:04 AM,12:36 PM,03:40 PM,06:08 PM,06:08 PM,07:25 PM,05:38 AM,12:36 AM,10:27 PM,02:46 AM,2023-09-17
17 Oct 2023,05:49 AM,07:06 AM,12:36 PM,03:39 PM,06:06 PM,06:06 PM,07:23 PM,05:39 AM,12:36 AM,10:26 PM,02:46 AM,2023-09-17
18 Oct 2023,05:50 AM,07:07 AM,12:36 PM,03:37 PM,06:05 PM,06:05 PM,07:22 PM,05:40 AM,12:36 AM,10:25 PM,02:46 AM,2023-09-17
19 Oct 2023,05:51 AM,07:08 AM,12:36 PM,03:36 PM,06:03 PM,06:03 PM,07:20 PM,05:41 AM,12:36 AM,10:25 PM,02:46 AM,2023-09-17
20 Oct 2023,05:52 AM,07:09 AM,12:36 PM,03:35 PM,06:02 PM,06:02 PM,07:19 PM,05:42 AM,12:35 AM,10:24 PM,02:47 AM,2023-09-17
21 Oct 2023,05:53 AM,07:10 AM,12:36 PM,03:34 PM,06:00 PM,06:00 PM,07:17 PM,05:43 AM,12:35 AM,10:24 PM,02:47 AM,2023-09-17
22 Oct 2023,05:54 AM,07:11 AM,12:35 PM,03:33 PM,05:59 PM,05:59 PM,07:16 PM,05:44 AM,12:35 AM,10:23 PM,02:47 AM,2023-09-17
23 Oct 2023,05:55 AM,07:13 AM,12:35 PM,03:32 PM,05:57 PM,05:57 PM,07:15 PM,05:45 AM,12:35 AM,10:22 PM,02:47 AM,2023-09-17
24 Oct 2023,05:56 AM,07:14 AM,12:35 PM,03:31 PM,05:56 PM,05:56 PM,07:13 PM,05:46 AM,12:35 AM,10:22 PM,02:48 AM,2023-09-17
25 Oct 2023,05:57 AM,07:15 AM,12:35 PM,03:29 PM,05:54 PM,05:54 PM,07:12 PM,05:47 AM,12:35 AM,10:21 PM,02:48 AM,2023-09-17
26 Oct 2023,05:59 AM,07:16 AM,12:35 PM,03:28 PM,05:53 PM,05:53 PM,07:11 PM,05:49 AM,12:35 AM,10:21 PM,02:48 AM,2023-09-17
27 Oct 2023,06:00 AM,07:17 AM,12:35 PM,03:27 PM,05:52 PM,05:52 PM,07:09 PM,05:50 AM,12:34 AM,10:20 PM,02:49 AM,2023-09-17
28 Oct 2023,06:01 AM,07:19 AM,12:35 PM,03:26 PM,05:50 PM,05:50 PM,07:08 PM,05:51 AM,12:34 AM,10:20 PM,02:49 AM,2023-09-17
29 Oct 2023,06:02 AM,07:20 AM,12:35 PM,03:25 PM,05:49 PM,05:49 PM,07:07 PM,05:52 AM,12:34 AM,10:19 PM,02:49 AM,2023-09-17
30 Oct 2023,06:03 AM,07:21 AM,12:35 PM,03:24 PM,05:48 PM,05:48 PM,07:06 PM,05:53 AM,12:34 AM,10:19 PM,02:50 AM,2023-09-17
31 Oct 2023,06:04 AM,07:22 AM,12:35 PM,03:23 PM,05:46 PM,05:46 PM,07:04 PM,05:54 AM,12:34 AM,10:18 PM,02:50 AM,2023-09-17
01 Nov 2023,06:05 AM,07:23 AM,12:35 PM,03:23 PM,05:45 PM,05:45 PM,07:03 PM,05:55 AM,12:34 AM,10:18 PM,02:51 AM,2023-10-01
02 Nov 2023,06:06 AM,07:25 AM,12:34 PM,03:22 PM,05:44 PM,05:44 PM,07:02 PM,05:56 AM,12:34 AM,10:17 PM,02:51 AM,2023-10-01
03 Nov 2023,06:07 AM,07:26 AM,12:34 PM,03:21 PM,05:43 PM,05:43 PM,07:01 PM,05:57 AM,12:34 AM,10:17 PM,02:51 AM,2023-10-01
04 Nov 2023,06:08 AM,07:27 AM,12:35 PM,03:20 PM,05:41 PM,05:41 PM,07:00 PM,05:58 AM,12:34 AM,10:17 PM,02:52 AM,2023-10-01
05 Nov 2023,05:09 AM,06:28 AM,11:35 AM,02:19 PM,04:40 PM,04:40 PM,05:59 PM,04:59 AM,11:34 PM,09:16 PM,01:52 AM,2023-10-01
06 Nov 2023,05:11 AM,06:30 AM,11:35 AM,02:18 PM,04:39 PM,04:39 PM,05:58 PM,05:01 AM,11:34 PM,09:16 PM,01:53 AM,2023-10-01
07 Nov 2023,05:12 AM,06:31 AM,11:35 AM,02:17 PM,04:38 PM,04:38 PM,05:57 PM,05:02 AM,11:34 PM,09:15 PM,01:53 AM,2023-10-01
08 Nov 2023,05:13 AM,06:32 AM,11:35 AM,02:16 PM,04:37 PM,04:37 PM,05:56 PM,05:03 AM,11:34 PM,09:15 PM,01:54 AM,2023-10-01
09 Nov 2023,05:14 AM,06:33 AM,11:35 AM,02:15 PM,04:36 PM,04:36 PM,05:55 PM,05:04 AM,11:34 PM,09:15 PM,01:54 AM,2023-10-01
10 Nov 2023,05:15 AM,06:35 AM,11:35 AM,02:15 PM,04:35 PM,04:35 PM,05:54 PM,05:05 AM,11:35 PM,09:15 PM,01:55 AM,2023-10-01
11 Nov 2023,05:16 AM,06:36 AM,11:35 AM,02:14 PM,04:34 PM,04:34 PM,05:53 PM,05:06 AM,11:35 PM,09:14 PM,01:55 AM,2023-10-01
12 Nov 2023,05:17 AM,06:37 AM,11:35 AM,02:13 PM,04:33 PM,04:33 PM,05:53 PM,05:07 AM,11:35 PM,09:14 PM,01:56 AM,2023-10-01
13 Nov 2023,05:18 AM,06:38 AM,11:35 AM,02:12 PM,04:32 PM,04:32 PM,05:52 PM,05:08 AM,11:35 PM,09:14 PM,01:56 AM,2023-10-01
14 Nov 2023,05:19 AM,06:39 AM,11:35 AM,02:12 PM,04:31 PM,04:31 PM,05:51 PM,05:09 AM,11:35 PM,09:14 PM,01:57 AM,2023-10-01
15 Nov 2023,05:20 AM,06:41 AM,11:36 AM,02:11 PM,04:30 PM,04:30 PM,05:50 PM,05:10 AM,11:35 PM,09:13 PM,01:57 AM,2023-10-01
16 Nov 2023,05:21 AM,06:42 AM,11:36 AM,02:10 PM,04:29 PM,04:29 PM,05:50 PM,05:11 AM,11:35 PM,09:13 PM,01:58 AM,2023-10-01
17 Nov 2023,05:22 AM,06:43 AM,11:36 AM,02:10 PM,04:28 PM,04:28 PM,05:49 PM,05:12 AM,11:36 PM,09:13 PM,01:58 AM,2023-10-01
18 Nov 2023,05:23 AM,06:44 AM,11:36 AM,02:09 PM,04:27 PM,04:27 PM,05:48 PM,05:13 AM,11:36 PM,09:13 PM,01:59 AM,2023-10-01
19 Nov 2023,05:24 AM,06:46 AM,11:36 AM,02:08 PM,04:27 PM,04:27 PM,05:48 PM,05:14 AM,11:36 PM,09:13 PM,01:59 AM,2023-10-01
20 Nov 2023,05:26 AM,06:47 AM,11:37 AM,02:08 PM,04:26 PM,04:26 PM,05:47 PM,05:16 AM,11:36 PM,09:13 PM,02:00 AM,2023-10-01
21 Nov 2023,05:27 AM,06:48 AM,11:37 AM,02:07 PM,04:25 PM,04:25 PM,05:47 PM,05:17 AM,11:37 PM,09:13 PM,02:00 AM,2023-10-01
22 Nov 2023,05:28 AM,06:49 AM,11:37 AM,02:07 PM,04:25 PM,04:25 PM,05:46 PM,05:18 AM,11:37 PM,09:13 PM,02:01 AM,2023-10-01
23 Nov 2023,05:29 AM,06:50 AM,11:37 AM,02:06 PM,04:24 PM,04:24 PM,05:46 PM,05:19 AM,11:37 PM,09:13 PM,02:01 AM,2023-10-01
24 Nov 2023,05:30 AM,06:51 AM,11:38 AM,02:06 PM,04:23 PM,04:23 PM,05:45 PM,05:20 AM,11:37 PM,09:13 PM,02:02 AM,2023-10-01
25 Nov 2023,05:31 AM,06:53 AM,11:38 AM,02:06 PM,04:23 PM,04:23 PM,05:45 PM,05:21 AM,11:38 PM,09:13 PM,02:03 AM,2023-10-01
26 Nov 2023,05:32 AM,06:54 AM,11:38 AM,02:05 PM,04:22 PM,04:22 PM,05:44 PM,05:22 AM,11:38 PM,09:13 PM,02:03 AM,2023-10-01
27 Nov 2023,05:33 AM,06:55 AM,11:39 AM,02:05 PM,04:22 PM,04:22 PM,05:44 PM,05:23 AM,11:38 PM,09:13 PM,02:04 AM,2023-10-01
28 Nov 2023,05:34 AM,06:56 AM,11:39 AM,02:05 PM,04:21 PM,04:21 PM,05:44 PM,05:24 AM,11:39 PM,09:13 PM,02:04 AM,2023-10-01
29 Nov 2023,05:35 AM,06:57 AM,11:39 AM,02:04 PM,04:21 PM,04:21 PM,05:44 PM,05:25 AM,11:39 PM,09:13 PM,02:05 AM,2023-10-01
30 Nov 2023,05:35 AM,06:58 AM,11:40 AM,02:04 PM,04:21 PM,04:21 PM,05:43 PM,05:25 AM,11:39 PM,09:13 PM,02:06 AM,2023-10-01
